Transaction_ID,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Purchase_Date,Customer_City,Payment_Method,Customer_Age,Customer_Gender
T0019,C0393,Electronics,Smart Watch,2,50000,100000,2025-09-30,Lahore,Credit Card,60.0,Female
T0020,C0217,Beauty,Skin Care,5,10000,50000,2025-11-07,Lahore,JazzCash,64.0,Male
T0021,C0192,Sports,Yoga Mat,7,25000,175000,2025-11-29,Multan,cash,46.0,Male
T0022,C0302,Clothing,Jeans,2,2500,5000,2025-01-11,Peshawar,CASH,55.0,Male
T0023,C0464,Electronics,Laptop,1,1000,1000,2025-02-04,Karachi,card,22.0,Male
T0024,C0371,Grocery,Coffee,4,10000,40000,2025-03-09,Peshawar,Credit card,48.0,Male
T0025,C0338,Furniture,Bed,4,500,2000,2025-02-19,Multan,online payment,45.0,Female
T0026,C0373,Furniture,Chair,2,500,1000,2025-07-26,Islamabad,Online Payment,33.0,Male
T0027,C0143,Clothing,Shoes,3,5000,15000,2025-04-04,Multan,Jazz cash,22.0,Female
T0028,C0429,Beauty,Perfume,1,25000,25000,2025-10-04,Karachi,jazzcash,33.0,Male
T0029,C0463,Furniture,Bed,8,1000,8000,2025-07-25,Karachi,Easy paisa,42.0,Male
T0030,C0357,Furniture,Sofa,8,2500,20000,2025-08-05,Faisalabad,Easypaisa,60.0,Female
T0031,C0297,Clothing,Jeans,5,1000,5000,2025-01-30,Faisalabad,cash,21.0,Female
T0032,C0081,Electronics,Laptop,8,10000,80000,2025-09-29,Karachi,JazzCash,23.0,Male
T0033,C0483,Electronics,Laptop,4,5000,20000,2025-03-03,Peshawar,Credit Card,,Male
T0034,C0290,Beauty,Perfume,7,25000,175000,2025-10-26,Peshawar,Debit Card,34.0,Male
T0035,C0068,Sports,Yoga Mat,4,2500,10000,2025-07-22,Faisalabad,EasyPaisa,37.0,Female
T0036,C0289,Grocery,Rice,1,5000,5000,2025-11-15,Karachi,Cash,52.0,Male
T0037,C0451,Beauty,Makeup,3,2500,7500,2025-02-05,Lahore,Debit Card,36.0,Male
T0038,C0154,Furniture,Sofa,1,25000,25000,2025-10-11,Faisalabad,Cash,26.0,Female
T0039,C0310,Electronics,Laptop,3,2500,7500,2025-05-25,Lahore,EasyPaisa,39.0,Male
T0040,C0048,Sports,Yoga Mat,8,2500,20000,2025-01-27,Faisalabad,Online Payment,35.0,Male
T0041,C0083,electronics,Headphones,3,25000,75000,2025-05-15,Faisalabad,Online Payment,53.0,Female
T0042,C0463,ELECTRONICS,Perfume,2,500,1000,2025-12-20,Lahore,JazzCash,20.0,Female
T0043,C0158,Clothing ,Skin Care,7,1000,7000,2025-01-22,Islamabad,Cash,40.0,Male
T0044,C0453,grocery,Cricket Bat,2,2500,5000,2025-10-14,Multan,JazzCash,65.0,Male
T0045,C0092,GROCERY,Jeans,3,5000,15000,2025-01-13,,Debit Card,44.0,Male
T0046,C0440,beauty,Oil,2,5000,10000,2025-01-20,Multan,Credit Card,30.0,Female
T0047,C0338,Sports ,Snacks,4,1000,4000,2025-01-13,Lahore,Online Payment,39.0,Female
T0048,C0205,sports,Headphones,6,25000,150000,2025-09-18,Faisalabad,,39.0,Male
T0049,C0020,Furniture,Headphones,3,10000,30000,2025-05-16,Karachi,JazzCash,45.0,Female
T0050,C0060,furniture,Yoga Mat,7,10000,70000,2025-09-19,,JazzCash,30.0,Female
T0051,C0352,Electronics,Smart Watch,1,10000,10000,2025-10-03,Faisalabad,EasyPaisa,65.0,Male
T0052,C0320,Grocery,Coffee,2,25000,50000,2025-06-19,Islamabad,EasyPaisa,25.0,Female
T0053,C0357,Beauty,Makeup,7,2500,17500,2025-07-26,Islamabad,JazzCash,26.0,Male
T0054,C0155,Furniture,Bed,3,10000,30000,2025-10-19,Multan,JazzCash,18.0,Female
T0055,C0311,Grocery,Oil,7,50000,350000,2025-10-24,Faisalabad,Debit Card,47.0,Female
T0056,C0338,Furniture,Table,8,50000,400000,2025-03-28,Karachi,Debit Card,50.0,Female
T0057,C0076,Electronics,Mobile Phone,5,1000,5000,2025-04-12,Karachi,Cash,33.0,Female
T0058,C0295,Beauty,Perfume,8,5000,40000,2025-11-19,Lahore,EasyPaisa,62.0,Female
T0059,C0353,Furniture,Bed,4,1000,4000,2025-12-02,,Cash,45.0,Male
T0060,C0470,Clothing,Shoes,1,10000,10000,2025-05-08,Karachi,Online Payment,26.0,Female
T0061,C0219,Sports,Yoga Mat,8,10000,80000,01/15/2025,Peshawar,Online Payment,28.0,Female
T0062,C0142,Furniture,Sofa,4,50000,200000,15-02-2025,Peshawar,Online Payment,58.0,Male
T0063,C0121,Grocery,Coffee,2,25000,50000,March 5 2025,Islamabad,Debit Card,38.0,Male
T0064,C0079,Clothing,Jeans,4,5000,20000,2025/04/20,Faisalabad,Credit Card,22.0,Female
T0065,C0106,Furniture,Sofa,8,5000,40000,05-25-2025,Multan,Online Payment,55.0,Male
T0066,C0153,Beauty,Shampoo,8,500,4000,"June 10, 2025",Multan,Online Payment,52.0,Male
T0067,C0015,Furniture,Table,5,5000,25000,07.15.2025,Multan,Debit Card,60.0,Female
T0068,C0274,Sports,Cricket Bat,8,1000,8000,2025-08-01,Karachi,Online Payment,55.0,Male
T0069,C0094,Electronics,Smart Watch,3,50000,150000,09/09/2025,Karachi,Debit Card,42.0,Female
T0070,C0143,Clothing,Shoes,6,2500,15000,Oct 12 2025,Multan,Debit Card,23.0,Female
T0071,C0036,Electronics,Laptop,6,1000,6000,11-20-2025,Faisalabad,Cash,19.0,Male
T0072,C0243,Clothing,Shirt,3,1000,3000,2025-03-06,Faisalabad,Cash,54.0,Male
T0073,C0311,Furniture,Sofa,6,1000,6000,2025-11-07,Faisalabad,EasyPaisa,25.0,Male
T0074,C0347,Grocery,Rice,1,2500,2500,2025-10-22,Multan,Online Payment,63.0,Male
T0075,C0436,Electronics,Mobile Phone,2,25000,50000,2025-06-04,Faisalabad,JazzCash,25.0,Male
T0076,C0332,Grocery,Coffee,6,500,3000,2025-09-17,Islamabad,Cash,44.0,Female
T0077,C0363,Electronics,Smart Watch,6,25000,150000,2025-08-24,Lahore,Online Payment,29.0,Female
T0078,C0138,Beauty,Shampoo,8,5000,40000,2025-10-31,Islamabad,Credit Card,23.0,Female
T0079,C0343,Furniture,Table,8,10000,80000,2025-11-09,Multan,Debit Card,19.0,Female
T0080,C0409,Grocery,Oil,8,1000,8000,2025-07-01,Islamabad,Debit Card,35.0,Female
T0081,C0369,Beauty,Perfume,4,500,2000,2025-05-04,Multan,Online Payment,53.0,Male
T0082,C0048,Sports,Dumbbell,8,5000,40000,2025-01-09,Islamabad,Credit Card,43.0,Male
T0083,C0177,Grocery,Snacks,8,10000,80000,2025-09-29,Multan,,53.0,Female
T0084,C0119,Grocery,Coffee,5,2500,12500,2025-05-09,Karachi,EasyPaisa,30.0,Female
T0085,C0142,Electronics,Mobile Phone,4,1000,4000,2025-09-05,Faisalabad,JazzCash,51.0,Female
T0086,C0092,Electronics,Mobile Phone,5,1000,5000,2025-07-04,Islamabad,Cash,63.0,Male
T0087,C0358,Grocery,Rice,1,10000,10000,2025-05-30,Lahore,EasyPaisa,49.0,Male
T0088,C0175,Electronics,Headphones,8,5000,40000,2025-08-14,Lahore,Cash,34.0,Female
T0089,C0296,Electronics,Laptop,7,5000,35000,2025-02-07,Faisalabad,EasyPaisa,21.0,Male
T0090,C0286,Clothing,Jacket,2,1000,2000,2025-03-02,Multan,JazzCash,56.0,Male
T0091,C0441,Beauty,Shampoo,8,5000,40000,2025-06-02,Peshawar,Online Payment,37.0,Male
T0092,C0136,Beauty,Perfume,4,25000,100000,2025-04-19,Faisalabad,Cash,28.0,Male
T0093,C0231,Clothing,Shirt,3,500,1500,2025-07-29,Faisalabad,JazzCash,48.0,Female
T0094,C0360,Electronics,Mobile Phone,5,25000,125000,2025-05-25,Multan,,61.0,Male
T0095,C0116,Grocery,Oil,7,500,3500,2025-10-06,Faisalabad,Credit Card,35.0,Male
T0096,C0305,Electronics,Laptop,3,50000,150000,2025-06-07,Faisalabad,JazzCash,36.0,Female
T0097,C0483,Electronics,Smart Watch,5,25000,125000,2025-07-26,Islamabad,JazzCash,52.0,Female
T0098,C0310,Furniture,Chair,1,5000,5000,2025-06-15,Islamabad,Cash,23.0,Male
T0099,C0391,Sports,Football,5,10000,50000,2025-01-21,Lahore,Online Payment,51.0,Female
T0100,C0497,Grocery,Oil,7,25000,175000,2025-09-09,Karachi,Online Payment,40.0,Female
T0101,C0169,Grocery,Snacks,-2,50000,100000,2025-03-24,Multan,EasyPaisa,49.0,Female
T0102,C0162,Sports,Dumbbell,1,-500,5000,2025-02-15,,Debit Card,25.0,Female
T0103,C0097,Beauty,Perfume,8,5000,40000,2025-01-28,Peshawar,Debit Card,150.0,Female
T0104,C0282,Sports,Dumbbell,1,1000,1000,2025-05-17,Lahore,Debit Card,46.0,Female
T0105,C0160,Electronics,Laptop,4,25000,100000,2025-03-23,Peshawar,Cash,53.0,Female
T0106,C0332,Electronics,Mobile Phone,2,5000,10000,2025-03-02,Lahore,Online Payment,63.0,Female
T0107,C0242,Beauty,Makeup,7,50000,350000,2025-09-05,Lahore,Online Payment,53.0,Male
T0108,C0142,Furniture,Table,3,50000,150000,2025-02-05,Multan,Debit Card,50.0,Female
T0109,C0297,Electronics,Headphones,5,50000,250000,2025-10-28,Faisalabad,Online Payment,27.0,Female
T0110,C0391,Beauty,Shampoo,6,2500,15000,2025-10-10,Peshawar,Online Payment,47.0,Female
T0111,C0023,Clothing,Jeans,7,1000,7000,2025-07-30,Islamabad,EasyPaisa,48.0,Female
T0112,C0258,Furniture,Table,8,500,4000,2025-03-06,Peshawar,,24.0,Female
T0113,C0210,Electronics,Smart Watch,1,25000,25000,2025-03-15,Faisalabad,Credit Card,22.0,Female
T0114,C0437,Grocery,Snacks,7,25000,175000,2025-02-11,Islamabad,EasyPaisa,52.0,Female
T0115,C0121,Grocery,Coffee,1,10000,10000,2025-02-05,Faisalabad,EasyPaisa,36.0,Male
T0116,C0361,Sports,Football,7,500,3500,2025-11-21,Karachi,Online Payment,28.0,Female
T0117,C0151,Electronics,Laptop,6,50000,300000,2025-01-29,Islamabad,Debit Card,45.0,Male
T0118,C0041,Clothing,Shoes,3,1000,3000,2025-03-31,Peshawar,Online Payment,57.0,Male
T0119,C0131,Furniture,Table,4,5000,20000,2025-11-23,Multan,Debit Card,60.0,Male
T0120,C0484,Furniture,Sofa,3,500,1500,2025-08-15,Islamabad,JazzCash,37.0,Female
T0121,C0102,Sports,Yoga Mat,8,50000,400000,2025-06-04,Multan,Online Payment,24.0,Male
T0122,C0012,Furniture,Sofa,5,25000,125000,2025-06-01,Faisalabad,Online Payment,35.0,Male
T0123,C0398,Beauty,Perfume,8,50000,400000,2025-05-27,Lahore,JazzCash,40.0,Male
T0124,C0349,Sports,Cricket Bat,5,25000,125000,2025-12-04,Lahore,EasyPaisa,24.0,Male
T0125,C0375,Grocery,Coffee,1,10000,10000,2025-07-06,Lahore,Cash,36.0,Female
T0126,C0403,Sports,Dumbbell,3,1000,3000,2025-03-09,Peshawar,Debit Card,51.0,Female
T0127,C0383,Clothing,Jacket,8,50000,400000,2025-06-01,Islamabad,Cash,47.0,Male
T0128,C0188,Clothing,Jeans,7,50000,350000,2025-10-13,Karachi,Online Payment,18.0,Female
T0129,C0384,Beauty,Perfume,8,2500,20000,2025-12-11,Faisalabad,Debit Card,55.0,Female
T0130,C0242,Sports,Yoga Mat,2,25000,50000,2025-04-30,Karachi,JazzCash,53.0,Female
T0131,C0466,Beauty,Skin Care,2,25000,50000,2025-08-26,Faisalabad,Debit Card,59.0,Female
T0132,C0253,Electronics,Mobile Phone,1,500,500,2025-06-05,Karachi,Cash,33.0,Male
T0133,C0485,Furniture,Bed,6,25000,150000,2025-12-23,Peshawar,Online Payment,55.0,Male
T0134,C0481,Furniture,Chair,8,10000,80000,2025-07-28,Islamabad,Cash,62.0,Female
T0135,C0051,Clothing,Shoes,8,1000,8000,2025-07-05,Faisalabad,Debit Card,52.0,Female
T0136,C0486,Electronics,Smart Watch,5,1000,5000,2025-03-04,Multan,Cash,60.0,Male
T0137,C0125,Sports,Football,1,50000,50000,2025-06-20,Lahore,JazzCash,31.0,Male
T0138,C0169,Beauty,Skin Care,4,50000,200000,2025-04-30,Lahore,JazzCash,18.0,Female
T0139,C0057,Clothing,Jeans,5,50000,250000,2025-03-31,Faisalabad,Cash,26.0,Male
T0140,C0136,Grocery,Oil,6,500,3000,2025-03-31,Karachi,Credit Card,65.0,Female
T0141,C0399,Beauty,Perfume,2,5000,10000,2025-08-18,Islamabad,JazzCash,55.0,Male
T0142,C0267,Furniture,Table,1,25000,25000,2025-12-04,Islamabad,Online Payment,59.0,Male
T0143,C0056,Electronics,Smart Watch,7,5000,35000,2025-12-18,Multan,EasyPaisa,46.0,Male
T0144,C0141,Electronics,Headphones,3,500,1500,2025-03-06,Peshawar,EasyPaisa,55.0,Female
T0145,C0221,Furniture,Sofa,8,10000,80000,2025-11-06,Karachi,EasyPaisa,25.0,Male
T0146,C0424,Furniture,Bed,4,5000,20000,2025-06-23,Multan,Online Payment,44.0,Male
T0147,C0192,Grocery,Coffee,6,25000,150000,2025-05-11,Lahore,EasyPaisa,48.0,Male
T0148,C0382,Electronics,Laptop,2,5000,10000,2025-02-19,Faisalabad,Debit Card,26.0,Male
T0149,C0448,Beauty,Makeup,2,5000,10000,2025-07-01,Faisalabad,Online Payment,64.0,Male
T0150,C0260,Grocery,Snacks,6,500,3000,2025-10-23,Lahore,Credit Card,60.0,Female
T0151,C0189,Clothing,Shirt,6,50000,300000,2025-10-12,Karachi,Debit Card,54.0,Male
T0152,C0140,Furniture,Chair,5,500,2500,2025-04-03,Faisalabad,Debit Card,39.0,Female
T0153,C0206,Electronics,Mobile Phone,3,10000,30000,2025-12-03,Karachi,Credit Card,65.0,Male
T0154,C0175,Electronics,Mobile Phone,7,5000,35000,2025-08-21,Lahore,Debit Card,37.0,Female
T0155,C0387,Beauty,Perfume,1,1000,1000,2025-03-22,Peshawar,Cash,61.0,Male
T0156,C0227,Grocery,Coffee,7,5000,35000,2025-11-07,Multan,Debit Card,31.0,Male
T0157,C0348,Grocery,Coffee,2,2500,5000,2025-12-14,Peshawar,Online Payment,51.0,Female
T0158,C0004,Electronics,Mobile Phone,7,10000,70000,2025-01-29,Lahore,Debit Card,31.0,Male
T0159,C0255,Grocery,Snacks,6,500,3000,2025-01-04,Faisalabad,Online Payment,29.0,Male
T0160,C0442,Furniture,Table,6,500,3000,2025-07-23,Faisalabad,Cash,45.0,Male
T0161,C0294,Furniture,Chair,6,10000,60000,2025-08-08,Multan,EasyPaisa,58.0,Female
T0162,C0088,Grocery,Rice,7,500,3500,2025-06-16,Peshawar,Online Payment,62.0,Female
T0163,C0302,Electronics,Smart Watch,2,1000,2000,2025-08-12,Multan,JazzCash,23.0,Female
T0164,C0040,Grocery,Snacks,4,2500,10000,2025-03-28,Peshawar,EasyPaisa,25.0,Male
T0165,C0075,Grocery,Snacks,3,1000,3000,2025-02-22,Islamabad,Credit Card,29.0,Male
T0166,C0253,Sports,Football,3,50000,150000,2025-11-18,Multan,JazzCash,55.0,Female
T0167,C0035,Sports,Yoga Mat,6,1000,6000,2025-08-14,Multan,Online Payment,58.0,Female
T0168,C0159,Grocery,Rice,6,10000,60000,2025-02-07,Multan,Online Payment,20.0,Male
T0169,C0315,Grocery,Snacks,2,25000,50000,2025-02-16,Peshawar,JazzCash,42.0,Female
T0170,C0334,Beauty,Perfume,8,50000,400000,2025-10-20,Lahore,Debit Card,56.0,Female
T0171,C0416,Beauty,Skin Care,1,5000,5000,2025-02-22,,EasyPaisa,23.0,Male
T0172,C0268,Electronics,Mobile Phone,8,5000,40000,2025-09-26,Peshawar,Credit Card,41.0,Female
T0173,C0348,Grocery,Coffee,7,50000,350000,2025-06-23,Peshawar,Cash,58.0,Female
T0174,C0198,Electronics,Headphones,2,10000,20000,2025-12-14,Islamabad,Debit Card,64.0,Male
T0175,C0496,Grocery,Rice,3,2500,7500,2025-06-08,Faisalabad,EasyPaisa,60.0,Female
T0176,C0330,Clothing,Shirt,5,10000,50000,2025-07-12,Islamabad,Credit Card,60.0,Male
T0177,C0159,Sports,Dumbbell,6,500,3000,2025-07-05,Lahore,Credit Card,39.0,Female
T0178,C0152,Clothing,Jeans,3,1000,3000,2025-02-09,Karachi,JazzCash,52.0,Male
T0179,C0079,Sports,Yoga Mat,3,10000,30000,2025-07-12,Lahore,Credit Card,62.0,Male
T0180,C0347,Sports,Dumbbell,1,5000,5000,2025-07-06,Faisalabad,Credit Card,46.0,Female
T0181,C0159,Sports,Dumbbell,4,10000,40000,2025-05-03,Multan,Credit Card,41.0,Female
T0182,C0215,Furniture,Sofa,7,10000,70000,2025-09-28,Lahore,Credit Card,56.0,Male
T0183,C0284,Grocery,Rice,8,50000,400000,2025-07-10,Karachi,EasyPaisa,51.0,Male
T0184,C0464,Grocery,Rice,3,2500,7500,2025-08-19,Peshawar,Credit Card,45.0,Male
T0185,C0028,Clothing,Shoes,6,500,3000,2025-08-01,Multan,JazzCash,41.0,Male
T0186,C0164,Furniture,Chair,6,1000,6000,2025-01-15,Karachi,EasyPaisa,59.0,Female
T0187,C0357,Clothing,Jeans,1,2500,2500,2025-08-30,Lahore,EasyPaisa,48.0,Female
T0188,C0111,Beauty,Perfume,2,500,1000,2025-05-12,Lahore,JazzCash,64.0,Female
T0189,C0025,Electronics,Headphones,4,2500,10000,2025-03-04,Lahore,Online Payment,58.0,Female
T0190,C0009,Electronics,Laptop,8,10000,80000,2025-10-02,Faisalabad,JazzCash,54.0,Male
T0191,C0315,Sports,Cricket Bat,5,5000,25000,2025-01-01,Islamabad,Credit Card,54.0,Female
T0192,C0279,Clothing,Shirt,6,500,3000,2025-09-27,Peshawar,JazzCash,53.0,Male
T0193,C0192,Furniture,Bed,1,25000,25000,2025-07-18,Islamabad,EasyPaisa,19.0,Female
T0194,C0322,Electronics,Headphones,4,25000,100000,2025-12-03,Karachi,JazzCash,65.0,Female
T0195,C0417,Clothing,Shirt,6,10000,60000,2025-06-23,Faisalabad,Credit Card,61.0,Female
T0196,C0033,Sports,Dumbbell,3,50000,150000,2025-03-11,Faisalabad,Online Payment,20.0,Female
T0197,C0478,Clothing,Shirt,4,500,2000,2025-06-11,Islamabad,JazzCash,43.0,Female
T0198,C0442,Grocery,Rice,4,2500,10000,2025-07-02,Karachi,EasyPaisa,39.0,Female
T0199,C0459,Electronics,Headphones,7,5000,35000,2025-08-14,Multan,Debit Card,29.0,Female
T0200,C0137,Sports,Dumbbell,6,50000,300000,2025-09-23,Karachi,,45.0,Male
T0201,C0041,Furniture,Table,5,2500,12500,2025-02-22,Islamabad,EasyPaisa,36.0,Female
T0202,C0180,Furniture,Bed,3,25000,75000,2025-08-16,Multan,Cash,64.0,Female
T0203,C0039,Beauty,Shampoo,5,25000,125000,2025-01-30,Faisalabad,EasyPaisa,43.0,Female
T0204,C0348,Beauty,Skin Care,1,1000,1000,2025-11-08,Multan,Cash,26.0,Male
T0205,C0017,Clothing,Jacket,6,5000,30000,2025-10-18,Peshawar,Credit Card,61.0,Female
T0206,C0294,Grocery,Snacks,8,50000,400000,2025-02-09,Lahore,JazzCash,41.0,Female
T0207,C0377,Grocery,Snacks,4,500,2000,2025-01-14,Lahore,Online Payment,51.0,Female
T0208,C0361,Beauty,Perfume,5,50000,250000,2025-05-14,Multan,Credit Card,,Female
T0209,C0437,Sports,Dumbbell,4,500,2000,2025-03-11,Karachi,Online Payment,29.0,Female
T0210,C0282,Electronics,Headphones,6,25000,150000,2025-02-03,Peshawar,Debit Card,37.0,Male
T0211,C0063,Sports,Cricket Bat,6,10000,60000,2025-04-25,Lahore,Credit Card,33.0,Female
T0212,C0067,Electronics,Headphones,6,5000,30000,2025-10-10,Peshawar,Cash,22.0,Female
T0213,C0422,Furniture,Bed,7,50000,350000,2025-07-29,Peshawar,Cash,26.0,Female
T0214,C0265,Sports,Football,8,5000,40000,2025-12-15,Islamabad,Credit Card,53.0,Male
T0215,C0266,Clothing,Shoes,1,50000,50000,2025-03-05,Lahore,Debit Card,28.0,Male
T0216,C0434,Grocery,Oil,6,10000,60000,2025-05-26,Karachi,Debit Card,30.0,Female
T0217,C0087,Clothing,Jacket,2,10000,20000,2025-11-25,Peshawar,JazzCash,27.0,Male
T0218,C0042,Sports,Yoga Mat,1,50000,50000,2025-01-15,Karachi,EasyPaisa,54.0,Female
T0219,C0016,Sports,Cricket Bat,7,10000,70000,2025-11-24,Multan,EasyPaisa,52.0,Female
T0220,C0208,Sports,Yoga Mat,8,1000,8000,2025-12-17,Islamabad,Online Payment,22.0,Male
T0221,C0105,Clothing,Shoes,7,5000,35000,2025-08-26,Islamabad,JazzCash,27.0,Female
T0222,C0390,Sports,Yoga Mat,6,5000,30000,2025-03-08,Islamabad,JazzCash,53.0,Male
T0223,C0231,Grocery,Oil,8,500,4000,2025-05-17,Lahore,Credit Card,24.0,Male
T0224,C0417,Grocery,Coffee,7,1000,7000,2025-03-23,Islamabad,JazzCash,64.0,Female
T0225,C0256,Clothing,Jeans,8,10000,80000,2025-08-28,Islamabad,Online Payment,19.0,Male
T0226,C0181,Furniture,Bed,4,1000,4000,2025-10-26,Karachi,Cash,36.0,Female
T0227,C0434,Beauty,Shampoo,5,10000,50000,2025-01-05,Karachi,Online Payment,26.0,Female
T0228,C0206,Sports,Yoga Mat,7,2500,17500,2025-01-24,Karachi,JazzCash,53.0,Male
T0229,C0231,Grocery,Snacks,2,5000,10000,2025-09-16,Peshawar,Debit Card,57.0,Male
T0230,C0286,Clothing,Shirt,7,2500,17500,2025-06-23,Islamabad,Credit Card,,Female
T0231,C0366,Beauty,Perfume,1,500,500,2025-03-12,Islamabad,Online Payment,51.0,Female
T0232,C0084,Clothing,Jeans,6,10000,60000,2025-06-13,Multan,JazzCash,65.0,Female
T0233,C0154,Beauty,Makeup,8,25000,200000,2025-10-16,Multan,Cash,41.0,Female
T0234,C0408,Sports,Football,7,10000,70000,2025-06-07,Faisalabad,EasyPaisa,58.0,Male
T0235,C0296,Beauty,Shampoo,5,25000,125000,2025-10-24,Lahore,EasyPaisa,21.0,Female
T0236,C0125,Clothing,Shoes,3,50000,150000,2025-12-15,Karachi,JazzCash,62.0,Male
T0237,C0078,Clothing,Shirt,8,2500,20000,2025-08-03,Multan,EasyPaisa,31.0,Female
T0238,C0266,Beauty,Shampoo,1,25000,25000,2025-03-12,Lahore,JazzCash,38.0,Female
T0239,C0468,Beauty,Shampoo,6,1000,6000,2025-08-24,Peshawar,Debit Card,52.0,Female
T0240,C0143,Sports,Yoga Mat,8,1000,8000,2025-05-07,Peshawar,Debit Card,32.0,Female
T0241,C0179,Grocery,Oil,8,2500,20000,2025-09-03,,EasyPaisa,35.0,Female
T0242,C0489,Electronics,Smart Watch,7,50000,350000,2025-06-26,Lahore,Debit Card,20.0,Female
T0243,C0132,Sports,Football,6,5000,30000,2025-12-02,Faisalabad,Online Payment,31.0,Male
T0244,C0316,Beauty,Makeup,5,1000,5000,2025-02-25,Faisalabad,JazzCash,33.0,Male
T0245,C0212,Electronics,Mobile Phone,4,500,2000,2025-02-21,Islamabad,EasyPaisa,48.0,Male
T0246,C0209,Sports,Cricket Bat,1,10000,10000,2025-03-22,Faisalabad,Online Payment,48.0,Male
T0247,C0465,Grocery,Snacks,5,25000,125000,2025-01-31,Karachi,EasyPaisa,54.0,Male
T0248,C0479,Beauty,Perfume,3,5000,15000,2025-04-01,Karachi,Online Payment,49.0,Male
T0249,C0291,Sports,Yoga Mat,1,500,500,2025-06-02,Peshawar,Cash,39.0,Female
T0250,C0240,Furniture,Bed,3,50000,150000,2025-09-16,Islamabad,Credit Card,25.0,Female
T0251,C0008,Clothing,Shoes,5,25000,125000,2025-04-06,Faisalabad,Debit Card,36.0,Male
T0252,C0045,Clothing,Shoes,7,10000,70000,2025-06-17,Multan,EasyPaisa,24.0,Male
T0253,C0134,Clothing,Shoes,6,1000,6000,2025-01-04,Multan,Credit Card,46.0,Female
T0254,C0185,Grocery,Snacks,1,2500,2500,2025-12-01,Faisalabad,Credit Card,21.0,Male
T0255,C0258,Furniture,Sofa,3,5000,15000,2025-12-18,Faisalabad,,62.0,Male
T0256,C0113,Sports,Yoga Mat,6,10000,60000,2025-04-24,Lahore,,27.0,Female
T0257,C0468,Sports,Yoga Mat,7,25000,175000,2025-10-09,Multan,JazzCash,60.0,Male
T0258,C0186,Clothing,Shirt,8,10000,80000,2025-12-27,Karachi,JazzCash,25.0,Male
T0259,C0438,Beauty,Skin Care,3,1000,3000,2025-06-17,Peshawar,Online Payment,25.0,Male
T0260,C0415,Sports,Dumbbell,2,10000,20000,2025-08-17,Karachi,Online Payment,26.0,Female
T0261,C0371,Furniture,Chair,8,25000,200000,2025-06-07,Karachi,Online Payment,34.0,Male
T0262,C0177,Sports,Cricket Bat,2,500,1000,2025-08-05,Faisalabad,Cash,52.0,Male
T0263,C0093,Electronics,Smart Watch,1,2500,2500,2025-07-29,Lahore,EasyPaisa,64.0,Female
T0264,C0193,Grocery,Coffee,8,50000,400000,2025-07-13,Karachi,EasyPaisa,60.0,Male
T0265,C0202,Sports,Yoga Mat,2,1000,2000,2025-10-03,Peshawar,Credit Card,64.0,Male
T0266,C0369,Electronics,Laptop,5,5000,25000,2025-12-11,Peshawar,Online Payment,52.0,Female
T0267,C0142,Clothing,Jeans,8,2500,20000,2025-03-21,Lahore,EasyPaisa,25.0,Male
T0268,C0035,Sports,Dumbbell,1,1000,1000,2025-04-16,Karachi,JazzCash,20.0,Female
T0269,C0206,Beauty,Perfume,4,25000,100000,2025-01-23,Multan,Credit Card,52.0,Male
